section,dataset,variant,metric,mean,std,n,n_valid
quality,synthetic,quality,score_main,0.3710982948879725,0.010469275584888346,5,5
quality,synthetic,quality,tstr_macro_f1,0.42697591843305566,0.01634208664974437,5,5
quality,synthetic,quality,disc_auc_gap,0.3994431502727846,0.01654451581684205,5,5
quality,synthetic,quality,unconditional_w1,0.250114294996695,0.010116619970976714,5,5
quality,synthetic,quality,conditional_w1,0.3358130878082187,0.016167145502120114,5,5
quality,synthetic,quality,u_l1,0.4249267578125,0.02540902451932937,5,5
quality,synthetic,quality,c_l1,28.410487396280608,8.426230391117446,5,5
quality,synthetic,quality,spread_specific_error,109.41611229785072,33.45705894130863,5,5
quality,synthetic,quality,imbalance_specific_error,1.3654274656908734,0.1369488151254359,5,5
quality,synthetic,quality,ret_vol_acf_error,0.24159008311525448,0.021519671052429704,5,5
quality,synthetic,quality,impact_response_error,3.0182059945676967,0.9294089269948062,5,5
quality,synthetic,quality,efficiency_ms_per_sample,2547.4610484386276,61.512835141501874,5,5
quality,optiver,quality,score_main,0.35950107278039833,0.011799550000731617,5,5
quality,optiver,quality,tstr_macro_f1,0.30193906576859086,0.027639738900074876,5,5
quality,optiver,quality,disc_auc_gap,0.14215794015915267,0.018409915125893708,5,5
quality,optiver,quality,unconditional_w1,0.20815124141282002,0.013348614066073503,5,5
quality,optiver,quality,conditional_w1,0.5076469150383496,0.01775325474930386,5,5
quality,optiver,quality,u_l1,0.4519212962962963,0.0195736174567435,5,5
quality,optiver,quality,c_l1,2.6867482189648095,1.136153839407262,5,5
quality,optiver,quality,spread_specific_error,5.134624981286153,3.942511786583811,5,5
quality,optiver,quality,imbalance_specific_error,1.791745877434326,0.11946746618176322,5,5
quality,optiver,quality,ret_vol_acf_error,0.216205180591102,0.009700784706494632,5,5
quality,optiver,quality,impact_response_error,3.95416751875308,1.1570185536078064,5,5
quality,optiver,quality,efficiency_ms_per_sample,769.6351519236083,1.6063245539466953,5,5
quality,cryptos,quality,score_main,1.8299895204943186,0.10702196093390917,5,5
quality,cryptos,quality,tstr_macro_f1,0.15963983445701396,0.012204307066216889,5,5
quality,cryptos,quality,disc_auc_gap,0.49986247465388856,6.627768202517516e-05,5,5
