section,dataset,variant,metric,mean,std,n,n_valid
baseline,synthetic,trades,score_main,0.6102085078916614,0.03209324363023391,5,5
baseline,synthetic,trades,tstr_macro_f1,0.2920737294927801,0.029193840820998677,5,5
baseline,synthetic,trades,disc_auc_gap,0.4994386853411285,0.0005222878612272447,5,5
baseline,synthetic,trades,unconditional_w1,0.7281215660211886,0.15650781816225215,5,5
baseline,synthetic,trades,conditional_w1,1.0018759827389094,0.13093715821806312,5,5
baseline,synthetic,trades,u_l1,0.8150716145833332,0.07604812592701228,5,5
baseline,synthetic,trades,c_l1,3107.4623421184456,580.4246099421835,5,5
baseline,synthetic,trades,spread_specific_error,12317.98661053002,2304.2806793774657,5,5
baseline,synthetic,trades,imbalance_specific_error,3.183298619535201,0.09557298741778138,5,5
baseline,synthetic,trades,ret_vol_acf_error,0.24801769066562987,0.023417608151521038,5,5
baseline,synthetic,trades,impact_response_error,20.338370580857934,3.542669691821172,5,5
baseline,synthetic,trades,efficiency_ms_per_sample,754.5930652162901,2.298885977346195,5,5
baseline,optiver,trades,score_main,0.44104075285685723,0.018497508981681485,5,5
baseline,optiver,trades,tstr_macro_f1,0.27919189597659416,0.017337988957784867,5,5
baseline,optiver,trades,disc_auc_gap,0.17112397520463724,0.0289671484159118,5,5
baseline,optiver,trades,unconditional_w1,0.3802111328359059,0.03591575570443121,5,5
baseline,optiver,trades,conditional_w1,0.7379929592268447,0.04349806542429489,5,5
baseline,optiver,trades,u_l1,0.5943055555555555,0.027146511464736626,5,5
baseline,optiver,trades,c_l1,3.4108440688378336,1.008807435791959,5,5
baseline,optiver,trades,spread_specific_error,4.985412905746353,3.447806428266856,5,5
baseline,optiver,trades,imbalance_specific_error,2.193324575992173,0.30823674577164784,5,5
baseline,optiver,trades,ret_vol_acf_error,0.22754514139558757,0.008394335686033722,5,5
baseline,optiver,trades,impact_response_error,4.907333412949631,1.2081280098462477,5,5
baseline,optiver,trades,efficiency_ms_per_sample,109.5415298322526,3.498206776763576,5,5
baseline,cryptos,trades,score_main,3.0046164140965343,0.2512204156603743,5,5
baseline,cryptos,trades,tstr_macro_f1,0.17905410149802362,0.023624264538690907,5,5
baseline,cryptos,trades,disc_auc_gap,0.5,0.0,5,5
baseline,cryptos,trades,unconditional_w1,671.1226384319161,244.4613681771626,5,5
baseline,cryptos,trades,conditional_w1,634.6674709142762,233.51296425509452,5,5
baseline,cryptos,trades,u_l1,1.2611074074074073,0.08072457844521556,5,5
baseline,cryptos,trades,c_l1,11450.560709545982,4384.159982314301,5,5
baseline,cryptos,trades,spread_specific_error,26009.578280564936,2403.0595834405644,5,5
baseline,cryptos,trades,imbalance_specific_error,7.881433732722246,1.6421070207744413,5,5
baseline,cryptos,trades,ret_vol_acf_error,0.1288694446400846,0.006345718333373925,5,5
baseline,cryptos,trades,impact_response_error,9872.632654473175,3440.143363117776,5,5
baseline,cryptos,trades,efficiency_ms_per_sample,2633.1568181747566,10.7012410535684,5,5
baseline,es_mbp_10,trades,score_main,0.5656863736999234,0.021070013750953312,5,5
baseline,es_mbp_10,trades,tstr_macro_f1,0.279524720033228,0.02133552988475841,5,5
baseline,es_mbp_10,trades,disc_auc_gap,0.49852627772196606,0.0004463622065842306,5,5
baseline,es_mbp_10,trades,unconditional_w1,0.620619820303348,0.07222640761692058,5,5
baseline,es_mbp_10,trades,conditional_w1,0.7576820256498753,0.05218617126498784,5,5
baseline,es_mbp_10,trades,u_l1,1.0732037037037037,0.09840257274955326,5,5
baseline,es_mbp_10,trades,c_l1,4.717984905025608,0.3067116479994206,5,5
baseline,es_mbp_10,trades,spread_specific_error,0.9777371959992396,0.03808804401339698,5,5
baseline,es_mbp_10,trades,imbalance_specific_error,1.6905883372170902,0.07475906145445613,5,5
baseline,es_mbp_10,trades,ret_vol_acf_error,0.12872410706335663,0.002572435324154012,5,5
baseline,es_mbp_10,trades,impact_response_error,3.894479865947834,1.0067726111490571,5,5
baseline,es_mbp_10,trades,efficiency_ms_per_sample,1315.441313677778,6.6438851368920995,5,5
baseline,synthetic,cgan,score_main,0.5272087877911502,0.10118194648717385,5,5
baseline,synthetic,cgan,tstr_macro_f1,nan,nan,5,0
baseline,synthetic,cgan,disc_auc_gap,0.467301217102441,0.0031089390855623135,5,5
baseline,synthetic,cgan,unconditional_w1,0.7673267962332528,0.33980943988472284,5,5
baseline,synthetic,cgan,conditional_w1,0.8606404739452381,0.3159020319988009,5,5
baseline,synthetic,cgan,u_l1,0.799045138888889,0.09234196815876158,5,5
baseline,synthetic,cgan,c_l1,1211.4807816217426,501.3606396603637,5,5
baseline,synthetic,cgan,spread_specific_error,4830.080472228615,1999.4357359869175,5,5
baseline,synthetic,cgan,imbalance_specific_error,2.141867721540883,0.5222024097973607,5,5
baseline,synthetic,cgan,ret_vol_acf_error,0.25210050591053423,0.02178233112117857,5,5
baseline,synthetic,cgan,impact_response_error,3.5383421349326105,1.8370276761353512,5,5
baseline,synthetic,cgan,efficiency_ms_per_sample,140.18540003712081,3.3238723720424375,5,5
baseline,optiver,cgan,score_main,0.4491937439617931,0.02137813048380167,5,5
baseline,optiver,cgan,tstr_macro_f1,0.2458527559872018,0.030088639699505627,5,3
baseline,optiver,cgan,disc_auc_gap,0.42546420895133313,0.014428436504880557,5,5
baseline,optiver,cgan,unconditional_w1,0.4730653242576784,0.049386669513685366,5,5
baseline,optiver,cgan,conditional_w1,0.6204004867529556,0.02869096747911171,5,5
baseline,optiver,cgan,u_l1,0.8882407407407408,0.04212674237155668,5,5
baseline,optiver,cgan,c_l1,1.5064419285733242,0.41997607508868373,5,5
baseline,optiver,cgan,spread_specific_error,2.4988558070682396,1.5922052934576532,5,5
baseline,optiver,cgan,imbalance_specific_error,1.2815909550344546,0.13120255502104702,5,5
baseline,optiver,cgan,ret_vol_acf_error,0.21733035488055252,0.005899661501739313,5,5
baseline,optiver,cgan,impact_response_error,1.356757271072601,0.22296505797821814,5,5
baseline,optiver,cgan,efficiency_ms_per_sample,20.88595228657747,0.02551363425065088,5,5
baseline,cryptos,cgan,score_main,2.1918525622583873,0.3633520465032352,5,5
baseline,cryptos,cgan,tstr_macro_f1,0.19632005664760585,0.0,5,1
baseline,cryptos,cgan,disc_auc_gap,0.4999993400084343,1.0662704797487911e-06,5,5
baseline,cryptos,cgan,unconditional_w1,92.06214120160142,56.42457367591615,5,5
baseline,cryptos,cgan,conditional_w1,92.28072166906755,56.64123073368609,5,5
baseline,cryptos,cgan,u_l1,1.7092592592592595,0.0996323755301072,5,5
baseline,cryptos,cgan,c_l1,1470.2874197335618,1183.3771703618754,5,5
baseline,cryptos,cgan,spread_specific_error,5689.670641168754,4734.600461199753,5,5
baseline,cryptos,cgan,imbalance_specific_error,3.5271586080509523,2.381995170851249,5,5
baseline,cryptos,cgan,ret_vol_acf_error,0.25848211393976583,0.1420620660576631,5,5
baseline,cryptos,cgan,impact_response_error,866.7171568893609,1275.4853877986973,5,5
baseline,cryptos,cgan,efficiency_ms_per_sample,266.1545433379555,4.156713767196386,5,5
baseline,es_mbp_10,cgan,score_main,0.6089912530017801,0.08170836062767638,5,5
baseline,es_mbp_10,cgan,tstr_macro_f1,0.22260490386176895,0.03229386030245341,5,4
baseline,es_mbp_10,cgan,disc_auc_gap,0.4995148219107796,0.0003809638077113959,5,5
baseline,es_mbp_10,cgan,unconditional_w1,0.86200480343924,0.331290024889322,5,5
baseline,es_mbp_10,cgan,conditional_w1,0.9569619730429318,0.3221024069704756,5,5
baseline,es_mbp_10,cgan,u_l1,1.3596592592592593,0.055682223313561104,5,5
baseline,es_mbp_10,cgan,c_l1,46.134903934357276,85.9586985289859,5,5
baseline,es_mbp_10,cgan,spread_specific_error,173.7686998097204,345.9851646879569,5,5
baseline,es_mbp_10,cgan,imbalance_specific_error,2.188178707145485,0.5165374535013458,5,5
baseline,es_mbp_10,cgan,ret_vol_acf_error,0.34833534661013266,0.0720603165442775,5,5
baseline,es_mbp_10,cgan,impact_response_error,5.901854087729385,3.7707583523135892,5,5
baseline,es_mbp_10,cgan,efficiency_ms_per_sample,269.3874975976845,5.2716191813678925,5,5
baseline,synthetic,timecausalvae,score_main,0.6473295608827914,0.08815248496015243,5,5
baseline,synthetic,timecausalvae,tstr_macro_f1,0.41649149525347334,0.025607654926759968,5,5
baseline,synthetic,timecausalvae,disc_auc_gap,0.40228600367175965,0.0037368788602413342,5,5
baseline,synthetic,timecausalvae,unconditional_w1,1.4134193733183529,0.5903924135928623,5,5
baseline,synthetic,timecausalvae,conditional_w1,1.6099006074166862,0.5855108098202549,5,5
baseline,synthetic,timecausalvae,u_l1,0.6243245442708333,0.060019176841780326,5,5
baseline,synthetic,timecausalvae,c_l1,870.5847519264514,634.0424973155839,5,5
baseline,synthetic,timecausalvae,spread_specific_error,3280.361294837376,2583.3712791192474,5,5
baseline,synthetic,timecausalvae,imbalance_specific_error,2.413781757222688,0.11441900543721387,5,5
baseline,synthetic,timecausalvae,ret_vol_acf_error,0.3053278956646591,0.022961357147989105,5,5
baseline,synthetic,timecausalvae,impact_response_error,39.61092311974744,23.66900956276358,5,5
baseline,synthetic,timecausalvae,efficiency_ms_per_sample,249.3569332860514,5.47410138912556,5,5
baseline,optiver,timecausalvae,score_main,0.43223483792402845,0.014580730295839287,5,5
baseline,optiver,timecausalvae,tstr_macro_f1,0.29215383172917536,0.005720216748014581,5,5
baseline,optiver,timecausalvae,disc_auc_gap,0.27247929573790763,0.024687661885127082,5,5
baseline,optiver,timecausalvae,unconditional_w1,0.2934242334451494,0.04298131068048406,5,5
baseline,optiver,timecausalvae,conditional_w1,0.6381518288147939,0.02690444297324691,5,5
baseline,optiver,timecausalvae,u_l1,0.720787037037037,0.04281103405067829,5,5
baseline,optiver,timecausalvae,c_l1,2.4841597071294386,0.7415434673258601,5,5
baseline,optiver,timecausalvae,spread_specific_error,4.644052895199399,2.5963174570210814,5,5
baseline,optiver,timecausalvae,imbalance_specific_error,1.7467949568805587,0.15137162234136134,5,5
baseline,optiver,timecausalvae,ret_vol_acf_error,0.22525456818162642,0.008266011436365659,5,5
baseline,optiver,timecausalvae,impact_response_error,3.9670785947439073,0.9814602716585311,5,5
baseline,optiver,timecausalvae,efficiency_ms_per_sample,37.224941506671406,0.2410104817462794,5,5
baseline,cryptos,timecausalvae,score_main,2.3077816540813254,0.3699175206877849,5,5
baseline,cryptos,timecausalvae,tstr_macro_f1,0.17908172159086608,0.009843386428767479,5,3
baseline,cryptos,timecausalvae,disc_auc_gap,0.5,0.0,5,5
baseline,cryptos,timecausalvae,unconditional_w1,139.4933657815119,82.83184022400636,5,5
baseline,cryptos,timecausalvae,conditional_w1,139.14129657947365,82.67167680611318,5,5
baseline,cryptos,timecausalvae,u_l1,1.557898148148148,0.038980431498131456,5,5
baseline,cryptos,timecausalvae,c_l1,2722.5668901175804,1056.1791534449317,5,5
baseline,cryptos,timecausalvae,spread_specific_error,5837.854125686241,563.548136589898,5,5
baseline,cryptos,timecausalvae,imbalance_specific_error,3.558764829247982,0.4534479853169304,5,5
baseline,cryptos,timecausalvae,ret_vol_acf_error,0.13179788365115974,0.005086309652014364,5,5
baseline,cryptos,timecausalvae,impact_response_error,8276.696863258569,8115.392904314519,5,5
baseline,cryptos,timecausalvae,efficiency_ms_per_sample,459.8312626841168,9.539006333100497,5,5
baseline,es_mbp_10,timecausalvae,score_main,0.5506739533261212,0.04844828410915715,5,5
baseline,es_mbp_10,timecausalvae,tstr_macro_f1,0.2765130497656008,0.02756884644561372,5,5
baseline,es_mbp_10,timecausalvae,disc_auc_gap,0.49466456398701075,0.002309605266318944,5,5
baseline,es_mbp_10,timecausalvae,unconditional_w1,0.609714141556781,0.15860009585921186,5,5
baseline,es_mbp_10,timecausalvae,conditional_w1,0.701453493092836,0.16661781779604495,5,5
baseline,es_mbp_10,timecausalvae,u_l1,1.0585425925925926,0.13365784347386817,5,5
baseline,es_mbp_10,timecausalvae,c_l1,14.658993618102865,24.77443113410467,5,5
baseline,es_mbp_10,timecausalvae,spread_specific_error,50.88702683639668,100.29824489315182,5,5
baseline,es_mbp_10,timecausalvae,imbalance_specific_error,2.4621467678337945,0.7353836422974043,5,5
baseline,es_mbp_10,timecausalvae,ret_vol_acf_error,0.1425417138926422,0.017132958970118316,5,5
baseline,es_mbp_10,timecausalvae,impact_response_error,30.606834684799175,30.96976955668907,5,5
baseline,es_mbp_10,timecausalvae,efficiency_ms_per_sample,467.6642910003041,10.380083905790674,5,5
baseline,synthetic,timegan,score_main,0.5106714265058535,0.003367620386483339,5,5
baseline,synthetic,timegan,tstr_macro_f1,0.27069697209546445,0.015985153424779283,5,5
baseline,synthetic,timegan,disc_auc_gap,0.4822121414452328,0.0051813987905775126,5,5
baseline,synthetic,timegan,unconditional_w1,0.471737417733466,0.020714622683963263,5,5
baseline,synthetic,timegan,conditional_w1,0.5612004776644912,0.018248812162939203,5,5
baseline,synthetic,timegan,u_l1,1.1790228949652777,0.04872573855629974,5,5
baseline,synthetic,timegan,c_l1,128.74196376935402,13.81058471033158,5,5
baseline,synthetic,timegan,spread_specific_error,501.20723038277464,54.62083475909543,5,5
baseline,synthetic,timegan,imbalance_specific_error,1.207570347904835,0.07221410059196744,5,5
baseline,synthetic,timegan,ret_vol_acf_error,0.2984247546554521,0.019827984720251157,5,5
baseline,synthetic,timegan,impact_response_error,32.91605562940267,7.388495735179746,5,5
